name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,8,10,12,12,12,16,18,20,20,20,20,20,22,26,32,34,36,36,36,38,40,42,44,46
Germany,DEU,0,0,0,0,0,0,0,0,0,0,12,14,16,22,30,34,36,40,42,50,50,52,60,66,68,78,88,94,100,106,114,116,120,128,132,132,134,140,144,150,152,158,166
Germany Dem Rep (former),DDR,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Germany Fed Rep (former),DFR,0,0,0,4,8,10,10,10,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Ghana,GHA,2,2,2,2,2,4,4,4,4,6,6,8,8,8,8,10,10,10,10,12,12,14,18,18,18,18,18,20,22,26,30,34,34,36,36,38,40,44,46,50,54,58,60
Greece,GRC,0,0,0,2,6,10,10,16,18,18,22,24,24,24,26,28,28,30,34,34,44,48,58,64,68,68,74,82,82,86,88,88,92,92,94,98,100,104,106,108,112,114,116
Grenada,GRD,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,6,6,6,8,8,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12
Guam,GUM,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,6,6,6,6,6,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Guatemala,GTM,0,0,2,2,2,2,2,8,10,12,12,12,12,12,16,18,20,20,24,26,30,36,42,46,46,54,56,62,70,74,84,96,98,98,106,112,116,128,134,138,148,154,158
Guinea,GIN,2,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,8,8,10,12,12,12,14,14,16,18,20,22,26,28,28,30,30,34,34,36,36,36,38,40,42
Guinea-Bissau,GNB,2,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,10,12,14,14,16,16,18,18,20,20,20,20,20,20,20,20,22,22,22,22,22
Guyana,GUY,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,6,8,8,8,8,8,8,8,8,10,12,12,14,14,16,16,16,16,16,18,18,20,20,20,20,22,24
Haiti,HTI,4,4,4,4,4,4,8,16,26,32,34,34,36,40,42,42,50,50,52,54,58,62,66,76,82,98,104,118,126,132,142,150,160,162,166,170,186,196,196,200,202,208,212
Honduras,HND,0,2,4,4,6,6,8,8,14,14,16,16,16,20,26,30,36,38,40,42,46,50,58,62,64,74,76,82,86,88,96,98,100,100,106,106,110,118,122,122,130,132,138
Hungary,HUN,0,0,0,0,2,2,4,4,4,4,4,4,6,6,6,6,8,10,10,16,18,22,24,28,30,38,42,44,46,46,48,48,50,54,56,56,58,60,62,64,64,64,64
Iceland,ISL,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
India,IND,20,32,44,64,82,100,120,140,156,170,194,212,228,246,256,274,298,316,344,358,384,418,444,476,488,538,578,618,640,674,708,732,750,772,804,842,872,908,954,978,1000,1032,1046
Indonesia,IDN,6,14,28,36,44,52,62,74,80,86,90,98,102,106,120,130,142,146,150,158,174,190,208,234,248,260,284,304,330,344,360,376,398,422,438,460,484,504,520,548,600,642,668
"Iran, Islamic Rep. of",IRN,4,8,8,8,8,8,12,24,26,28,32,42,48,56,62,68,76,80,88,98,106,114,122,126,132,142,144,148,154,154,154,154,156,156,158,168,170,174,176,182,196,204,210
Iraq,IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,8,8,10,12,12,14,16,18,18,20,20,20,22,24,26,32,34
Ireland,IRL,0,0,0,2,2,2,4,6,6,6,12,14,14,16,16,16,18,18,20,22,24,24,26,26,28,30,30,30,30,32,32,34,34,34,36,38,38,40,42,42,44,44,46
Isle of Man,IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Israel,ISR,0,0,0,2,2,2,2,2,2,2,2,4,6,6,6,8,8,10,12,14,18,18,18,18,18,18,18,18,18,18,22,22,22,24,24,26,28,28,30,30,34,34,34
Italy,ITA,0,0,2,6,6,8,10,22,22,22,28,28,32,34,40,40,46,50,54,58,66,72,80,86,88,90,94,98,104,112,118,126,132,134,144,152,154,162,170,180,194,198,204
Jamaica,JAM,2,4,4,4,4,6,8,10,14,14,14,16,16,18,20,20,22,22,22,22,24,26,32,32,36,42,44,48,52,52,54,54,56,56,58,58,60,62,62,62,62,62,62
